2023-05-20 11:38:04 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:125), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:36:21 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:37:02 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:37:03 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:37:03 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:37:06 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:20 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:20 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:20 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:20 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:26 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:27 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:29 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:32 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:39 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
2023-05-20 12:39:40 [ERROR] -> [java.base/java.util.ArrayList$Itr.checkForComodification(ArrayList.java:1013), java.base/java.util.ArrayList$Itr.next(ArrayList.java:967), com.example.pruebafx/modelo.Jugador.pintar(Jugador.java:126), com.example.pruebafx/vista.juego.CampoDeBatalla.pintar(CampoDeBatalla.java:153), com.example.pruebafx/vista.juego.CampoDeBatalla$1.handle(CampoDeBatalla.java:85), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.lambda$handle$0(AnimationTimer.java:58), java.base/java.security.AccessController.doPrivileged(AccessController.java:399), javafx.graphics/javafx.animation.AnimationTimer$AnimationTimerReceiver.handle(AnimationTimer.java:57), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer.timePulseImpl(AbstractPrimaryTimer.java:356), javafx.graphics/com.sun.scenario.animation.AbstractPrimaryTimer$MainLoop.run(AbstractPrimaryTimer.java:266), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:571), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulse(QuantumToolkit.java:555), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.pulseFromQueue(QuantumToolkit.java:548), javafx.graphics/com.sun.javafx.tk.quantum.QuantumToolkit.lambda$runToolkit$11(QuantumToolkit.java:353), javafx.graphics/com.sun.glass.ui.InvokeLaterDispatcher$Future.run(InvokeLaterDispatcher.java:96), javafx.graphics/com.sun.glass.ui.win.WinApplication._runLoop(Native Method), javafx.graphics/com.sun.glass.ui.win.WinApplication.lambda$runLoop$3(WinApplication.java:184), java.base/java.lang.Thread.run(Thread.java:833)]
